Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-10-06;105,70;105,90;106,50;106,60;105,10;105,90;105,692;40893;4322074,8;303;
2017-10-05;105,80;106,00;106,10;106,70;105,00;106,00;106,024;70844;7511171,7;492;
2017-10-04;105,80;105,90;107,00;107,00;105,00;106,00;106,141;73654;7817673,4;1006;
2017-10-03;106,60;106,80;107,00;107,50;106,40;106,70;106,928;43501;4651485,3;661;
2017-10-02;106,70;107,00;107,50;107,80;106,60;107,00;107,296;53573;5748181,2;369;
2017-09-29;107,30;107,50;106,00;107,80;106,00;107,20;107,091;55057;5896105,1;285;
2017-09-28;106,10;106,30;106,40;106,90;106,00;106,00;106,413;26401;2809409,9;258;
2017-09-27;105,80;106,10;104,40;106,40;104,20;106,10;105,737;63916;6758301,1;378;
2017-09-26;104,10;104,30;104,40;104,50;103,70;104,00;104,078;16814;1749964,5;167;
2017-09-25;104,10;104,40;103,90;104,50;103,30;104,50;103,916;21436;2227533,3;208;
2017-09-22;103,60;103,90;104,00;104,00;102,90;104,00;103,591;20877;2162673,1;156;
2017-09-21;103,60;103,90;103,00;103,90;102,70;103,50;103,456;19961;2065075,7;232;
2017-09-20;101,80;102,10;102,00;102,30;101,70;101,80;102,061;10833;1105625;154;
2017-09-19;101,80;102,00;101,80;102,00;101,60;102,00;101,843;15602;1588955,1;184;
2017-09-18;101,30;101,80;102,00;102,40;101,30;101,80;101,732;22956;2335368,4;202;
2017-09-15;101,30;101,60;102,10;102,50;101,00;101,00;101,844;36933;3761394,4;283;
2017-09-14;102,10;102,30;102,50;102,50;102,00;102,10;102,271;14483;1481187,7;103;
2017-09-13;102,20;102,40;101,60;102,50;101,30;102,50;101,861;25518;2599280,2;172;
2017-09-12;101,30;101,50;101,70;102,10;101,40;101,50;101,809;27670;2817054,9;250;
2017-09-11;101,30;101,50;100,50;101,60;100,30;101,30;100,991;31315;3162521,5;220;
2017-09-08;99,25;99,50;98,60;100,30;98,60;99,25;99,569;21740;2164622,8;210;
2017-09-07;99,30;99,60;99,95;100,40;99,00;99,00;99,695;27814;2772918,85;187;
2017-09-06;99,20;99,55;99,50;99,75;99,00;99,25;99,406;39070;3883786,1;294;
2017-09-05;99,75;99,90;102,20;102,20;99,45;99,70;100,531;33973;3415344;251;
2017-09-04;100,60;100,90;101,10;101,50;100,80;100,90;101,112;16346;1652775,3;148;
2017-09-01;101,50;101,80;101,70;102,40;101,40;101,40;101,935;18337;1869178,7;214;
2017-08-31;101,70;102,10;101,50;102,60;101,50;101,70;102,10;15970;1630537,8;161;
2017-08-30;101,00;101,30;100,10;101,30;100,10;101,30;100,825;19921;2008543,1;142;
2017-08-29;100,10;100,30;100,50;100,50;99,95;100,00;100,157;24729;2476775,95;241;
2017-08-28;100,50;100,80;100,90;101,40;100,50;100,50;100,835;11721;1181886,3;173;
2017-08-25;100,70;100,90;100,60;101,60;100,60;101,00;101,051;7224;729989,7;137;
2017-08-24;100,70;100,90;100,90;101,50;100,60;100,60;100,978;10994;1110156,5;107;
2017-08-23;100,50;100,80;100,10;101,60;100,10;100,90;101,062;14030;1417905,5;143;
2017-08-22;101,00;101,20;100,10;101,20;100,10;100,80;100,554;23202;2333044,7;161;
2017-08-21;100,40;100,60;100,10;100,60;100,00;100,10;100,264;26337;2640641,5;211;
2017-08-18;100,20;100,50;100,60;100,60;99,50;100,20;100,055;45885;4591038,45;262;
2017-08-17;101,00;101,30;102,30;102,30;100,80;100,80;101,352;23270;2358461,1;196;
2017-08-16;102,30;102,60;101,70;103,00;101,60;102,20;102,325;11012;1126806,3;87;
2017-08-15;101,30;101,70;101,90;101,90;100,70;101,70;101,349;17956;1819822,5;150;
2017-08-14;100,90;101,20;100,60;101,70;100,60;101,00;101,088;13642;1379037,1;129;
2017-08-11;100,40;100,90;102,00;102,00;100,00;100,50;100,777;30127;3036113,7;216;
2017-08-10;101,90;102,30;102,00;102,40;101,60;102,20;102,004;32949;3360926,1;142;
2017-08-09;102,10;102,40;102,50;102,50;101,70;102,10;102,03;12954;1321693,6;104;
2017-08-08;102,70;102,90;102,80;103,30;102,50;102,50;102,986;25670;2643648,7;137;
2017-08-07;102,80;103,00;103,00;103,00;102,50;102,70;102,814;23155;2380647,7;187;
2017-08-04;102,30;102,40;101,50;102,60;101,40;102,20;101,83;9616;979197,9;108;
2017-08-03;101,70;101,90;101,70;102,00;101,20;101,30;101,674;21436;2179488,2;156;
2017-08-02;101,80;102,40;102,00;102,40;101,30;101,80;101,878;15681;1597550,4;135;
2017-08-01;101,60;102,00;101,30;102,60;101,30;102,20;101,957;23543;2400373,9;188;
2017-07-31;101,00;101,40;101,10;101,80;100,80;101,30;101,324;19993;2025763,2;183;
2017-07-28;101,30;101,90;102,60;102,60;101,10;101,20;101,615;14483;1471693,4;162;
2017-07-27;102,20;102,60;101,50;102,70;101,50;102,60;102,331;17610;1802051,3;183;
2017-07-26;101,50;101,80;102,10;102,10;101,30;101,50;101,695;10954;1113963,2;145;
2017-07-25;101,70;102,00;101,80;102,70;101,70;102,10;102,118;20693;2113129,2;174;
2017-07-24;101,40;101,90;102,00;102,10;100,50;101,70;101,192;30478;3084131,4;240;
2017-07-21;101,80;102,00;101,90;102,50;101,20;102,20;102,026;30605;3122507,3;212;
2017-07-20;102,10;102,40;104,20;104,20;102,00;102,00;102,44;21676;2220484,5;199;
2017-07-19;102,80;103,00;103,40;103,70;102,20;102,80;102,879;24026;2471780;257;
2017-07-18;103,20;103,70;105,20;105,60;103,00;103,80;103,941;25552;2655890,4;261;
2017-07-17;104,80;105,10;105,20;105,50;104,60;105,10;105,058;30300;3183265,7;241;
2017-07-14;104,50;104,90;104,50;106,50;104,50;104,50;105,357;78612;8282352;441;
2017-07-13;103,60;103,80;103,80;104,00;103,40;103,60;103,663;18628;1931027,7;152;
2017-07-12;103,20;103,80;101,30;103,80;101,30;103,80;102,796;37203;3824319,2;239;
2017-07-11;101,70;102,00;102,00;102,40;101,30;101,30;101,553;11430;1160755,3;137;
2017-07-10;101,90;102,20;101,70;102,30;101,30;102,30;101,874;8524;868373,5;122;
2017-07-07;101,50;101,80;101,70;102,20;101,30;101,80;101,626;7121;723681,2;95;
2017-07-06;101,70;102,00;102,00;102,10;101,60;101,70;101,906;9549;973102,2;90;
2017-07-05;102,00;102,40;101,70;102,60;101,70;101,90;102,074;12950;1321859,4;130;
2017-07-04;102,60;102,90;102,00;102,90;101,40;102,90;102,433;31365;3212803,6;184;
2017-07-03;101,60;102,00;100,00;102,00;100,00;102,00;100,765;25627;2582293,2;262;
2017-06-30;100,20;100,50;101,80;101,90;100,20;100,60;100,939;22303;2251251,3;235;
2017-06-29;101,10;101,50;102,20;103,10;100,70;100,70;102,13;24503;2502479,2;184;
2017-06-28;101,40;101,80;101,00;101,90;99,95;101,90;100,672;24120;2428202,8;252;
2017-06-27;100,90;101,30;100,60;101,90;100,40;101,40;101,099;35385;3577390,1;218;
2017-06-26;100,80;101,20;100,00;102,00;100,00;100,60;101,255;34525;3495837,3;327;
2017-06-22;101,10;101,50;102,30;102,40;101,10;101,50;101,718;21620;2199147,2;160;
2017-06-21;102,40;102,70;103,70;103,70;102,30;102,30;102,762;30961;3181610,2;269;
2017-06-20;103,50;103,90;104,50;104,80;103,50;104,10;104,213;27043;2818234,6;242;
2017-06-19;104,40;104,70;104,00;104,90;103,00;104,30;103,711;45213;4689061,3;261;
2017-06-16;102,60;103,00;103,90;104,00;102,00;104,00;102,925;38709;3984126;271;
2017-06-15;102,10;102,80;102,40;103,00;101,00;102,80;101,844;45393;4622996;291;
2017-06-14;102,40;102,80;103,70;104,00;102,10;102,80;102,932;24243;2495385;208;
2017-06-13;103,20;103,50;103,90;104,00;103,20;103,70;103,655;17997;1865484,4;146;
2017-06-12;103,10;103,60;104,00;104,00;102,80;103,10;103,294;20549;2122594,4;231;
2017-06-09;104,00;104,40;103,50;104,70;103,50;104,50;104,151;34939;3638928,2;265;
2017-06-08;103,70;104,00;103,80;105,20;103,60;103,60;104,396;30236;3156522,3;244;
2017-06-07;103,60;104,20;103,40;104,40;103,00;103,50;103,852;20788;2158872,6;195;
2017-06-05;103,10;103,40;104,00;104,00;102,90;102,90;103,317;31307;3234544,5;285;
2017-06-02;103,50;103,70;103,50;105,00;103,40;103,70;104,235;27006;2814956,2;235;
2017-06-01;103,80;104,10;104,30;104,80;103,60;104,30;104,089;15194;1581522,2;187;
2017-05-31;104,40;104,80;103,80;104,90;103,80;104,90;104,635;37378;3911050,4;215;
2017-05-30;104,50;104,70;104,00;104,90;103,60;104,90;104,528;42959;4490397,6;197;
2017-05-29;104,50;104,70;104,20;105,20;104,20;104,70;104,684;21761;2278030,2;203;
2017-05-26;104,00;104,40;103,90;104,70;103,70;104,00;104,011;29058;3022340,4;238;
2017-05-24;104,10;104,40;104,40;105,20;104,20;104,20;104,597;11736;1227553,4;100;
2017-05-23;103,90;104,10;102,90;104,40;102,90;103,60;103,981;9730;1011737;114;
2017-05-22;103,20;103,60;103,50;104,60;102,90;102,90;103,454;27043;2797717,7;205;
2017-05-19;103,80;104,20;102,90;104,00;102,90;103,40;103,472;41141;4256952;270;
2017-05-18;103,00;103,30;103,00;104,20;101,90;102,90;102,907;84029;8647177,3;491;
2017-05-17;104,00;104,40;105,30;105,40;103,40;103,80;104,547;35699;3732204,4;282;
2017-05-16;105,10;105,30;105,00;105,90;104,90;105,30;105,293;21154;2227374,9;231;
2017-05-15;105,10;105,50;105,00;106,20;105,00;105,00;105,647;19385;2047959,7;205;
2017-05-12;105,40;105,50;105,10;105,90;105,10;105,50;105,466;54350;5732062,8;188;
2017-05-11;105,10;105,20;106,00;106,50;105,00;105,10;105,597;39539;4175208,7;246;
2017-05-10;106,40;106,60;106,00;107,00;105,70;106,60;106,461;37212;3961633,9;273;
2017-05-09;106,50;106,70;105,60;107,10;105,60;106,70;106,618;37258;3972390;272;
2017-05-08;105,50;105,70;106,20;106,20;105,10;105,40;105,544;25535;2695062,5;239;
2017-05-05;105,70;106,20;105,00;106,50;103,40;106,20;105,09;68843;7234740,4;591;
2017-05-04;104,90;105,00;103,80;105,00;103,80;105,00;104,761;50289;5268313,2;300;
2017-05-03;103,80;104,20;101,60;104,20;101,30;104,20;102,712;79085;8122935,4;358;
2017-05-02;101,60;101,90;101,50;102,60;101,40;101,90;101,833;42182;4295513,8;366;
2017-04-28;101,70;101,90;100,80;102,00;100,00;101,90;100,949;39317;3968990,6;214;
2017-04-27;100,50;100,80;101,30;102,20;100,20;100,90;101,064;55110;5569660,4;305;
2017-04-26;101,00;101,20;101,60;102,10;100,40;101,00;101,062;64172;6485318,8;566;
2017-04-25;101,40;101,60;101,50;102,40;101,00;101,60;101,526;46198;4690310,3;261;
2017-04-24;101,00;101,20;100,00;101,20;99,70;101,20;100,438;62889;6316464;316;
2017-04-21;98,80;99,25;98,30;99,40;98,30;98,85;98,889;39899;3945562,3;177;
2017-04-20;98,70;99,00;99,00;99,60;98,30;99,00;98,853;19809;1958184,35;198;
2017-04-19;98,40;98,75;96,60;99,00;96,60;98,95;98,038;22539;2209672,5;162;
2017-04-18;97,10;97,30;98,50;99,00;96,75;97,10;97,98;46027;4509740,85;315;
2017-04-13;98,05;98,35;99,05;99,15;97,60;98,00;98,355;21942;2158114,3;131;
2017-04-12;98,70;99,05;98,55;99,90;98,45;99,05;99,178;36770;3646776,35;217;
2017-04-11;98,90;99,40;97,95;99,40;97,95;98,75;98,95;51452;5091160,5;198;
2017-04-10;98,45;98,60;98,75;98,85;97,35;98,20;98,197;43198;4241904,55;234;
2017-04-07;98,85;99,00;99,55;99,55;98,10;99,15;98,782;17086;1687795,8;163;
2017-04-06;99,20;99,55;98,25;99,45;97,40;99,25;98,582;26359;2598514,7;206;
2017-04-05;98,25;98,50;100,60;100,60;98,10;98,60;98,753;40296;3979345,25;257;
2017-04-04;99,00;99,40;101,30;101,40;98,45;99,20;99,959;47059;4703972,2;413;
2017-04-03;100,90;101,30;103,10;103,80;101,30;101,30;102,217;40113;4100246,7;206;
2017-03-31;103,30;103,50;104,10;104,80;102,50;103,50;103,338;78098;8070467,5;288;
2017-03-30;103,10;103,60;104,00;104,00;102,10;104,00;103,327;31020;3205209,3;214;
2017-03-29;103,70;103,90;105,00;105,00;103,20;104,00;103,928;35692;3709380,3;293;
2017-03-28;108,80;109,10;109,10;109,50;108,40;108,70;109,158;29272;3195278,7;193;
2017-03-27;108,80;109,00;107,00;109,10;105,80;109,10;107,285;82464;8847164;395;
2017-03-24;107,70;108,10;107,20;109,00;107,10;107,60;107,902;18233;1967385,3;153;
2017-03-23;108,60;108,80;108,20;109,20;107,70;108,50;108,546;19459;2112203,6;158;
2017-03-22;108,90;109,40;109,00;109,80;106,70;109,50;108,191;48384;5234729,7;273;
2017-03-21;108,90;109,30;109,00;109,90;108,50;109,00;109,201;40064;4375027,4;250;
2017-03-20;108,20;108,30;108,30;108,30;108,00;108,20;108,26;66978;7251048,5;180;
2017-03-17;108,20;108,30;108,70;109,90;108,00;108,10;108,163;263561;28507488,1;318;
2017-03-16;108,50;108,70;108,30;109,60;108,30;108,80;109,128;50563;5517846,3;334;
2017-03-15;108,00;108,40;107,70;108,90;107,60;108,30;108,336;44468;4817501,5;295;
2017-03-14;107,50;107,60;108,00;108,50;106,90;107,50;107,689;48719;5246490,5;358;
2017-03-13;107,70;108,10;107,10;108,60;106,40;108,00;107,37;44541;4782377,9;331;
2017-03-10;106,60;107,00;105,50;107,00;105,50;106,50;106,523;40317;4294696,5;237;
2017-03-09;105,50;105,70;105,00;106,00;104,50;105,50;105,509;29620;3125187,1;184;
2017-03-08;104,60;105,00;104,70;105,00;104,40;105,00;104,837;18522;1941789,7;167;
2017-03-07;104,40;104,60;104,00;104,70;103,80;104,70;104,239;30624;3192202,6;199;
2017-03-06;104,50;104,70;104,90;104,90;103,80;104,50;104,512;37656;3935512,7;253;
2017-03-03;104,40;104,70;104,70;105,00;104,10;104,30;104,654;25805;2700594,2;230;
2017-03-02;104,60;104,70;105,00;105,00;103,90;104,80;104,514;30767;3215585,7;241;
2017-03-01;104,00;104,20;104,10;104,60;103,60;104,30;104,15;33610;3500478,6;240;
2017-02-28;102,80;103,10;103,40;104,10;101,50;104,10;103,052;138936;14317586,1;412;
2017-02-27;102,80;103,00;103,10;104,00;102,60;102,80;103,041;89517;9223919;484;
2017-02-24;103,20;103,60;104,50;105,00;102,90;103,20;103,837;74025;7686511,9;435;
2017-02-23;104,50;104,70;105,60;105,60;104,50;104,50;105,07;54899;5768255,6;255;
2017-02-22;104,80;105,00;104,50;105,00;104,50;104,80;104,744;31550;3304679,6;183;
2017-02-21;105,10;105,50;105,50;105,60;103,20;105,10;104,985;41066;4311293,4;276;
2017-02-20;105,80;106,10;106,00;106,40;105,50;106,10;106,056;26690;2830622,2;200;
2017-02-17;105,30;105,60;106,00;106,00;104,90;105,70;105,52;26051;2748903,7;161;
2017-02-16;105,80;106,00;105,90;106,00;105,10;105,60;105,673;24122;2549053,9;135;
2017-02-15;105,50;105,80;105,00;105,70;104,60;105,50;105,211;26924;2832687;180;
2017-02-14;104,20;104,30;104,80;104,80;103,90;104,30;104,198;20587;2145126;114;
2017-02-13;104,20;104,50;105,00;105,00;103,90;104,20;104,31;25038;2611709,8;174;
2017-02-10;103,70;103,90;104,00;104,50;103,20;103,60;103,785;27760;2881070,2;182;
2017-02-09;103,30;103,80;103,00;103,80;102,40;103,20;102,973;24922;2566297,9;163;
2017-02-08;102,80;103,20;104,00;104,00;101,90;103,30;103,083;25981;2678196,3;194;
2017-02-07;102,60;103,00;102,50;103,50;102,00;103,10;102,762;28635;2942584,7;231;
